stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_code,platform_code
JRI,Juurikorpi,,60.604162,26.938127,,1,,,
JRI_0,Juurikorpi,,60.604162,26.938127,,0,JRI,,
KTI,Kesälahti,,61.887467,29.802865,,1,,,
KTI_0,Kesälahti,,61.887467,29.802865,,0,KTI,,
KTI_1,Kesälahti,,61.88712810976977,29.80263755500119,,0,KTI,,1
HNH,Hanhikoski,,66.695831,27.219836,,1,,,
HNH_0,Hanhikoski,,66.695831,27.219836,,0,HNH,,
KTN,Kaleton,,62.239687,24.791661,,1,,,
KTN_0,Kaleton,,62.239687,24.791661,,0,KTN,,
HNK,Hanko,,59.826865,22.968291,,1,,,
HNK_0,Hanko,,59.826865,22.968291,,0,HNK,,
HNK_2,Hanko,,59.827086573452966,22.96949023386475,,0,HNK,,2
RAS,Rasinsuo,,60.97619,27.892136,,1,,,
RAS_0,Rasinsuo,,60.97619,27.892136,,0,RAS,,
HNO,Heinoo,,61.394254,22.971145,,1,,,
HNO_0,Heinoo,,61.394254,22.971145,,0,HNO,,
HNN,Henna,,60.799132,25.494389,,1,,,
HNN_0,Henna,,60.799132,25.494389,,0,HNN,,
HNN_1,Henna,,60.8007395,25.4958175,,0,HNN,,1
HNN_4,Henna,,60.80067549999999,25.496069499999997,,0,HNN,,4
JRS,Jorvas,,60.137885,24.512776,,1,,,
JRS_0,Jorvas,,60.137885,24.512776,,0,JRS,,
JRS_1,Jorvas,,60.13674187843251,24.50996709286792,,0,JRS,,1
JRS_2,Jorvas,,60.13670256983851,24.51003526171628,,0,JRS,,2
LVT,Lievestuore,,62.259872,26.195893,,1,,,
LVT_0,Lievestuore,,62.259872,26.195893,,0,LVT,,
KTS,Kotkan satama,,60.466492,26.934952,,1,,,
KTS_0,Kotkan satama,,60.466492,26.934952,,0,KTS,,
KTS_1,Kotkan satama,,60.46836464412654,26.939429942933415,,0,KTS,,1
ÄS,Äetsä,,61.296677,22.706473,,1,,,
ÄS_0,Äetsä,,61.296677,22.706473,,0,ÄS,,
HNV,Heinävesi,,62.382542,28.643419,,1,,,
